,0
0,32
1,2
2,2
3,1
4,12
5,0
6,0
7,1
8,1
9,2
10,11
11,0
12,0
13,1
14,2
15,6
16,1
17,2
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,2
26,0
27,0
28,2
29,1
30,2
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,2
44,0
45,4
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,12
57,1
58,1
59,0
60,14
61,1
62,0
63,1
64,1
65,2
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,4
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,0
104,1
105,2
106,1
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,0
123,0
124,0
125,0
126,2
127,0
128,0
129,0
130,2
131,0
132,0
133,1
134,1
135,2
136,0
137,0
138,0
139,0
140,11
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,11
151,0
152,0
153,0
154,0
155,2
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,3
166,1
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,4
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
